מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תחום,מחוז תקשוב,,,,,,,,
338483- אבו חאמד אלגזאלי,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,שירין אבראהים,ז,1,רגיל,26,0,מדעים,העיר ירושלים,,,,,,,,
338533- שדא אלוורד,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,סרין סאפי,ז,1,רגיל,16,0,מדעים,העיר ירושלים,,,,,,,,
343970- על יסודי מאר מטרי,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,ארגס עאסי,ז,1,רגיל,14,0,מדעים,העיר ירושלים,,,,,,,,
412676- דאר אל חכמה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,אברהים דוויק,ז,1,רגיל,19,0,מדעים,העיר ירושלים,,,,,,,,
430074- מקור התקווה,ירושלים,ממלכתי,העיר ירושלים,יהודי,שמחה שגית קליימן,יואל רוסו,ז,1,רגיל,9,0,מדעים,העיר ירושלים,,,,,,,,
430355- בית ספר יסודי אלפגר אלגדיד,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,זינב הנדי,ז,1,רגיל,27,0,מדעים,העיר ירושלים,,,,,,,,
430363- גיל אלמוסתקבל,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,ליאלי גומעה,ז,1,רגיל,21,0,מדעים,העיר ירושלים,,,,,,,,
430439- בית ספר רואא,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,מנאר עאבדין,ז,1,רגיל,21,0,מדעים,העיר ירושלים,,,,,,,,
440412- תיכון מקיף אלראזי,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,אלאא אלעדרה,ז,1,רגיל,45,0,מדעים,העיר ירושלים,,,,,,,,
440685- בית שכונת זגיר,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,רבא ארנאוט,ז,1,רגיל,36,0,מדעים,העיר ירושלים,,,,,,,,
440693- אלראזי,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,באסם דוויק,ז,1,רגיל,33,0,מדעים,העיר ירושלים,,,,,,,,
478909- בית ספר יסודי נור אל,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,נדאא אבו כף,ז,1,רגיל,20,0,מדעים,העיר ירושלים,,,,,,,,
